date,	cases,	country,
16/06/2020,	43,	China,
15/06/2020,	47,	China,
14/06/2020,	60,	China,
13/06/2020,	12,	China,
44171,	7,	China,
44141,	11,	China,
44110,	4,	China,
44080,	3,	China,
44049,	5,	China,
44018,	9,	China,
43988,	6,	China,
43957,	11,	China,
43927,	1,	China,
43896,	5,	China,
43867,	7,	China,
43836,	19,	China,
31/05/2020,	5,	China,
30/05/2020,	17,	China,
29/05/2020,	0,	China,
28/05/2020,	3,	China,
27/05/2020,	1,	China,
26/05/2020,	7,	China,
25/05/2020,	11,	China,
24/05/2020,	3,	China,
23/05/2020,	2,	China,
22/05/2020,	12,	China,
21/05/2020,	2,	China,
20/05/2020,	2,	China,
19/05/2020,	9,	China,
18/05/2020,	10,	China,
17/05/2020,	6,	China,
16/05/2020,	9,	China,
15/05/2020,	5,	China,
14/05/2020,	6,	China,
13/05/2020,	7,	China,
44170,	1,	China,
44140,	19,	China,
44109,	15,	China,
44079,	0,	China,
44048,	6,	China,
44017,	2,	China,
43987,	2,	China,
43956,	2,	China,
43926,	3,	China,
43895,	2,	China,
43866,	3,	China,
43835,	12,	China,
30/04/2020,	4,	China,
29/04/2020,	2,	China,
28/04/2020,	26,	China,
27/04/2020,	3,	China,
26/04/2020,	10,	China,
25/04/2020,	15,	China,
24/04/2020,	8,	China,
23/04/2020,	12,	China,
22/04/2020,	15,	China,
21/04/2020,	32,	China,
20/04/2020,	14,	China,
19/04/2020,	18,	China,
18/04/2020,	31,	China,
17/04/2020,	352,	China,
16/04/2020,	50,	China,
15/04/2020,	49,	China,
14/04/2020,	94,	China,
13/04/2020,	112,	China,
44169,	93,	China,
44139,	79,	China,
44108,	55,	China,
44078,	86,	China,
44047,	86,	China,
44016,	56,	China,
43986,	67,	China,
43955,	48,	China,
43925,	62,	China,
43894,	70,	China,
43865,	100,	China,
43834,	54,	China,
31/03/2020,	84,	China,
30/03/2020,	98,	China,
29/03/2020,	113,	China,
28/03/2020,	119,	China,
27/03/2020,	94,	China,
26/03/2020,	102,	China,
25/03/2020,	78,	China,
24/03/2020,	69,	China,
23/03/2020,	138,	China,
22/03/2020,	65,	China,
21/03/2020,	52,	China,
20/03/2020,	99,	China,
19/03/2020,	44,	China,
18/03/2020,	23,	China,
17/03/2020,	43,	China,
16/03/2020,	25,	China,
15/03/2020,	22,	China,
14/03/2020,	19,	China,
13/03/2020,	22,	China,
44168,	24,	China,
44138,	29,	China,
44107,	20,	China,
44077,	45,	China,
44046,	46,	China,
44015,	101,	China,
43985,	170,	China,
43954,	117,	China,
43924,	119,	China,
43893,	127,	China,
43864,	205,	China,
43833,	574,	China,
29/02/2020,	428,	China,
28/02/2020,	329,	China,
27/02/2020,	439,	China,
26/02/2020,	410,	China,
25/02/2020,	515,	China,
24/02/2020,	218,	China,
23/02/2020,	647,	China,
22/02/2020,	826,	China,
21/02/2020,	891,	China,
20/02/2020,	394,	China,
19/02/2020,	1750,	China,
18/02/2020,	1890,	China,
17/02/2020,	2052,	China,
16/02/2020,	2007,	China,
15/02/2020,	2538,	China,
14/02/2020,	4156,	China,
13/02/2020,	15141,	China,
44167,	2028,	China,
44137,	2490,	China,
44106,	2974,	China,
44076,	2607,	China,
44045,	3418,	China,
44014,	3160,	China,
43984,	3727,	China,
43953,	3872,	China,
43923,	3237,	China,
43892,	2812,	China,
43863,	2590,	China,
43832,	2095,	China,
31/01/2020,	1980,	China,
30/01/2020,	1740,	China,
29/01/2020,	1466,	China,
28/01/2020,	1753,	China,
27/01/2020,	787,	China,
26/01/2020,	665,	China,
25/01/2020,	441,	China,
24/01/2020,	259,	China,
23/01/2020,	97,	China,
22/01/2020,	140,	China,
21/01/2020,	151,	China,
20/01/2020,	19,	China,
19/01/2020,	136,	China,
18/01/2020,	17,	China,
17/01/2020,	4,	China,
16/01/2020,	0,	China,
15/01/2020,	0,	China,
14/01/2020,	0,	China,
13/01/2020,	0,	China,
44166,	0,	China,
44136,	0,	China,
44105,	0,	China,
44075,	0,	China,
44044,	0,	China,
44013,	0,	China,
43983,	0,	China,
43952,	15,	China,
43922,	0,	China,
43891,	17,	China,
43862,	0,	China,
43831,	0,	China,
31/12/2019,	27,	China,
16/06/2020,	10667,	India,
15/06/2020,	11502,	India,
14/06/2020,	11929,	India,
13/06/2020,	11458,	India,
44171,	10956,	India,
44141,	9996,	India,
44110,	9985,	India,
44080,	9987,	India,
44049,	9983,	India,
44018,	9971,	India,
43988,	9887,	India,
43957,	9851,	India,
43927,	9304,	India,
43896,	8909,	India,
43867,	8171,	India,
43836,	8392,	India,
31/05/2020,	8380,	India,
30/05/2020,	7964,	India,
29/05/2020,	7466,	India,
28/05/2020,	6566,	India,
27/05/2020,	6387,	India,
26/05/2020,	6535,	India,
25/05/2020,	6977,	India,
24/05/2020,	6767,	India,
23/05/2020,	6654,	India,
22/05/2020,	6088,	India,
21/05/2020,	5609,	India,
20/05/2020,	5611,	India,
19/05/2020,	4970,	India,
18/05/2020,	5242,	India,
17/05/2020,	4987,	India,
16/05/2020,	3970,	India,
15/05/2020,	3967,	India,
14/05/2020,	3722,	India,
13/05/2020,	3525,	India,
44170,	3604,	India,
44140,	4213,	India,
44109,	3277,	India,
44079,	3320,	India,
44048,	3390,	India,
44017,	3561,	India,
43987,	2958,	India,
43956,	3900,	India,
43926,	2553,	India,
43895,	2644,	India,
43866,	2293,	India,
43835,	1993,	India,
30/04/2020,	1718,	India,
29/04/2020,	1897,	India,
28/04/2020,	1543,	India,
27/04/2020,	1396,	India,
26/04/2020,	1990,	India,
25/04/2020,	1429,	India,
24/04/2020,	1684,	India,
23/04/2020,	1409,	India,
22/04/2020,	1384,	India,
21/04/2020,	1335,	India,
20/04/2020,	1553,	India,
19/04/2020,	1334,	India,
18/04/2020,	991,	India,
17/04/2020,	1007,	India,
16/04/2020,	942,	India,
15/04/2020,	1075,	India,
14/04/2020,	1211,	India,
13/04/2020,	796,	India,
44169,	909,	India,
44139,	1035,	India,
44108,	678,	India,
44078,	540,	India,
44047,	773,	India,
44016,	354,	India,
43986,	693,	India,
43955,	472,	India,
43925,	601,	India,
43894,	336,	India,
43865,	568,	India,
43834,	146,	India,
31/03/2020,	180,	India,
30/03/2020,	92,	India,
29/03/2020,	106,	India,
28/03/2020,	149,	India,
27/03/2020,	75,	India,
26/03/2020,	87,	India,
25/03/2020,	70,	India,
24/03/2020,	53,	India,
23/03/2020,	119,	India,
22/03/2020,	89,	India,
21/03/2020,	40,	India,
20/03/2020,	26,	India,
19/03/2020,	28,	India,
18/03/2020,	12,	India,
17/03/2020,	32,	India,
16/03/2020,	3,	India,
15/03/2020,	7,	India,
14/03/2020,	8,	India,
13/03/2020,	2,	India,
44168,	23,	India,
44138,	6,	India,
44107,	10,	India,
44046,	3,	India,
44015,	2,	India,
43985,	1,	India,
43954,	22,	India,
43924,	1,	India,
43893,	2,	India,
43864,	0,	India,
43833,	0,	India,
29/02/2020,	0,	India,
28/02/2020,	0,	India,
27/02/2020,	0,	India,
26/02/2020,	0,	India,
25/02/2020,	0,	India,
24/02/2020,	0,	India,
23/02/2020,	0,	India,
22/02/2020,	0,	India,
21/02/2020,	0,	India,
20/02/2020,	0,	India,
19/02/2020,	0,	India,
18/02/2020,	0,	India,
17/02/2020,	0,	India,
16/02/2020,	0,	India,
